u, t, f(u), f(t)
46/129, 83/37, 741665/2146689, 2585805/50653
46/131, 85/39, 809211/2248091, 2718119/59319
46/133, 87/41, 879901/2352637, 2854313/68921
46/135, 89/43, 953783/2460375, 2994435/79507
46/137, 91/45, 1030905/2571353, 3138533/91125
46/139, 93/47, 1111315/2685619, 3286655/103823
46/141, 95/49, 1195061/2803221, 3438849/117649
46/143, 97/51, 1282191/2924207, 3595163/132651
46/145, 99/53, 1372753/3048625, 3755645/148877
46/147, 101/55, 1466795/3176523, 3920343/166375
46/149, 103/57, 1564365/3307949, 4089305/185193
46/151, 105/59, 1665511/3442951, 4262579/205379
46/153, 107/61, 1770281/3581577, 4440213/226981
46/155, 109/63, 1878723/3723875, 4622255/250047
46/157, 111/65, 1990885/3869893, 4808753/274625
46/159, 113/67, 2106815/4019679, 4999755/300763
46/163, 117/71, 2350171/4330747, 5395463/357911
46/165, 119/73, 2477693/4492125, 5600265/389017
46/167, 121/75, 2609175/4657463, 5809763/421875
46/169, 123/77, 2744665/4826809, 6024005/456533
46/171, 125/79, 2884211/5000211, 6243039/493039
46/173, 127/81, 3027861/5177717, 6466913/531441
46/175, 129/83, 3175663/5359375, 6695675/571787
46/177, 131/85, 3327665/5545233, 6929373/614125
46/179, 133/87, 3483915/5735339, 7168055/658503
46/181, 135/89, 3644461/5929741, 7411769/704969
46/183, 137/91, 3809351/6128487, 7660563/753571
46/185, 139/93, 3978633/6331625, 7914485/804357
46/187, 141/95, 4152355/6539203, 8173583/857375
46/189, 143/97, 4330565/6751269, 8437905/912673
46/191, 145/99, 4513311/6967871, 8707499/970299
46/193, 147/101, 4700641/7189057, 8982413/1030301
46/195, 149/103, 4892603/7414875, 9262695/1092727
46/197, 151/105, 5089245/7645373, 9548393/1157625
46/199, 153/107, 5290615/7880599, 9839555/1225043
47/49, 51/62, 82305/117649, 1180/29791
47/77, 95/119, -73627/456533, -47641/1685159
47/95, 48, 9119/857375, 866305
47/96, 49/2, 2351/110592, 112848
47/97, 50/3, 29073/912673, 940027/27
47/98, 51/4, 4990/117649, 122255/8
47/99, 52/5, 51355/970299, 1016829/125
47/100, 53/6, 7923/125000, 132050/27
47/101, 54/7, 76013/1030301, 1096759/343
47/102, 55/8, 11156/132651, 142239/64
47/103, 56/9, 103095/1092727, 1179865/729
47/104, 57/10, 14695/140608, 152828/125
47/105, 58/11, 132649/1157625, 1266195/1331
47/106, 59/12, 18546/148877, 163823/216
47/107, 60/13, 164723/1225043, 1355797/2197
47/108, 61/14, 22715/157464, 175230/343
47/109, 62/15, 199365/1295029, 1448719/3375
47/110, 63/16, 27208/166375, 187055/512
47/111, 64/17, 236623/1367631, 1545009/4913
47/112, 65/18, 32031/175616, 199304/729
47/113, 66/19, 276545/1442897, 1644715/6859
47/114, 67/20, 37190/185193, 211983/1000
47/115, 68/21, 319179/1520875, 1747885/9261
47/116, 69/22, 42691/195112, 225098/1331
47/117, 70/23, 364573/1601613, 1854567/12167
47/118, 71/24, 48540/205379, 238655/1728
47/119, 72/25, 412775/1685159, 1964809/15625
47/120, 73/26, 54743/216000, 252660/2197
47/121, 74/27, 463833/1771561, 2078659/19683
47/122, 75/28, 61306/226981, 267119/2744
47/123, 76/29, 517795/1860867, 2196165/24389
47/124, 77/30, 68235/238328, 282038/3375
47/125, 78/31, 574709/1953125, 2317375/29791
47/126, 79/32, 75536/250047, 297423/4096
47/127, 80/33, 634623/2048383, 2442337/35937
47/128, 81/34, 83215/262144, 313280/4913
47/129, 82/35, 697585/2146689, 2571099/42875
47/130, 83/36, 91278/274625, 329615/5832
47/131, 84/37, 763643/2248091, 2703709/50653
47/132, 85/38, 99731/287496, 346434/6859
47/133, 86/39, 832845/2352637, 2840215/59319
47/134, 87/40, 108580/300763, 363743/8000
47/135, 88/41, 905239/2460375, 2980665/68921
47/136, 89/42, 117831/314432, 381548/9261
47/137, 90/43, 980873/2571353, 3125107/79507
47/138, 91/44, 127490/328509, 399855/10648
47/139, 92/45, 1059795/2685619, 3273589/91125
47/140, 93/46, 137563/343000, 418670/12167
47/142, 95/48, 148056/357911, 437999/13824
47/143, 96/49, 1227695/2924207, 3582865/117649
47/144, 97/50, 158975/373248, 457848/15625
47/145, 98/51, 1316769/3048625, 3743755/132651
47/146, 99/52, 170326/389017, 478223/17576
47/147, 100/53, 1409323/3176523, 3908877/148877
47/148, 101/54, 182115/405224, 499130/19683
47/149, 102/55, 1505405/3307949, 4078279/166375
47/150, 103/56, 194348/421875, 520575/21952
47/151, 104/57, 1605063/3442951, 4252009/185193
47/152, 105/58, 207031/438976, 542564/24389
47/153, 106/59, 1708345/3581577, 4430115/205379
47/154, 107/60, 220170/456533, 565103/27000
47/155, 108/61, 1815299/3723875, 4612645/226981
47/156, 109/62, 233771/474552, 588198/29791
47/157, 110/63, 1925973/3869893, 4799647/250047
47/158, 111/64, 247840/493039, 611855/32768
47/159, 112/65, 2040415/4019679, 4991169/274625
47/160, 113/66, 262383/512000, 636080/35937
47/161, 114/67, 2158673/4173281, 5187259/300763
47/162, 115/68, 277406/531441, 660879/39304
47/163, 116/69, 2280795/4330747, 5387965/328509
47/164, 117/70, 292915/551368, 686258/42875
47/165, 118/71, 2406829/4492125, 5593335/357911
47/165, 169/11, 2406829/4492125, 36102435/1331
47/166, 119/72, 308916/571787, 712223/46656
47/167, 120/73, 2536823/4657463, 5803417/389017
47/168, 121/74, 325415/592704, 738780/50653
47/169, 122/75, 2670825/4826809, 6018259/421875
47/170, 123/76, 342418/614125, 765935/54872
47/171, 124/77, 2808883/5000211, 6237909/456533
47/172, 125/78, 359931/636056, 793694/59319
47/173, 126/79, 2951045/5177717, 6462415/493039
47/174, 127/80, 377960/658503, 822063/64000
47/175, 128/81, 3097359/5359375, 6691825/531441
47/176, 129/82, 396511/681472, 851048/68921
47/177, 130/83, 3247873/5545233, 6926187/571787
47/178, 131/84, 415590/704969, 880655/74088
47/179, 132/85, 3402635/5735339, 7165549/614125
47/180, 133/86, 435203/729000, 910890/79507
47/181, 134/87, 3561693/5929741, 7409959/658503
47/182, 135/88, 455356/753571, 941759/85184
47/183, 136/89, 3725095/6128487, 7659465/704969
47/184, 137/90, 476055/778688, 973268/91125
47/185, 138/91, 3892889/6331625, 7914115/753571
47/186, 139/92, 497306/804357, 1005423/97336
47/187, 140/93, 4065123/6539203, 8173957/804357
47/189, 142/95, 4241845/6751269, 8439039/857375
47/190, 143/96, 541488/857375, 1071695/110592
47/191, 144/97, 4423103/6967871, 8709409/912673
47/192, 145/98, 564431/884736, 1105824/117649
47/193, 146/99, 4608945/7189057, 8985115/970299
47/194, 147/100, 587950/912673, 1140623/125000
47/195, 148/101, 4799419/7414875, 9266205/1030301
47/196, 149/102, 612051/941192, 1176098/132651
47/197, 150/103, 4994573/7645373, 9552727/1092727
47/198, 151/104, 636740/970299, 1212255/140608
47/199, 152/105, 5194455/7880599, 9844729/1157625
48/97, 49, 9505/912673, 921985
48/101, 53/5, 53405/1030301, 1078781/125
48/103, 55/7, 78967/1092727, 1161943/343
48/107, 59/11, 137555/1225043, 1338035/1331
48/109, 61/13, 170677/1295029, 1431061/2197
48/113, 65/17, 244817/1442897, 1627313/4913
48/115, 67/19, 285931/1520875, 1730635/6859
48/119, 71/23, 376487/1685159, 1947911/12167
48/121, 73/25, 426025/1771561, 2061961/15625
48/125, 77/29, 533861/1953125, 2301125/24389
48/127, 79/31, 592255/2048383, 2426335/29791
48/131, 83/35, 718235/2248091, 2688251/42875
48/133, 85/37, 785917/2352637, 2825053/50653
48/137, 89/41, 930905/2571353, 3110585/68921
48/139, 91/43, 1008307/2685619, 3259411/79507
48/143, 95/47, 1173167/2924207, 3569423/103823
48/145, 97/49, 1260721/3048625, 3730705/117649
48/149, 101/53, 1446317/3307949, 4066061/148877
48/151, 103/55, 1544455/3442951, 4240231/166375
48/155, 107/59, 1751651/3723875, 4601795/205379
48/157, 109/61, 1860805/3869893, 4789285/226981
48/161, 113/65, 2090465/4173281, 5177921/274625
48/163, 115/67, 2211067/4330747, 5379163/300763
48/167, 119/71, 2464055/4657463, 5795735/357911
48/169, 121/73, 2596537/4826809, 6011161/389017
48/173, 125/77, 2873717/5177717, 6456533/456533
48/175, 127/79, 3018511/5359375, 6686575/493039
48/179, 131/83, 3320747/5735339, 7161611/571787
48/181, 133/85, 3478285/5929741, 7406701/614125
48/185, 137/89, 3806441/6331625, 7912265/704969
48/187, 139/91, 3977155/6539203, 8172835/753571
48/191, 143/95, 4332095/6967871, 8709791/857375
48/193, 145/97, 4516417/7189057, 8986273/912673
48/197, 149/101, 4899005/7645373, 9555485/1030301
48/199, 151/103, 5097367/7880599, 9848311/1092727
49/5, 77/93, 845277/125, 45445/804357
49/5, 121/149, 845277/125, 28365/3307949
49/11, 169/8, 731235/1331, 4598385/64
49/19, 70/79, 583099/6859, 140239/493039
49/19, 100/121, 583099/6859, 91561/1771561
49/31, 63/67, 375535/29791, 173755/300763
49/31, 81/95, 375535/29791, 122543/857375
49/41, 56/57, 222585/68921, 160105/185193
49/41, 64/71, 222585/68921, 128535/357911
49/62, 51/100, -1422/29791, -2449/125000
49/99, 50, 9899/970299, 980001
49/100, 51/2, 2549/125000, 127450
49/100, 99/98, 2549/125000, 127450/117649
49/101, 52/3, 31485/1030301, 1059995/27
49/102, 53/4, 5398/132651, 137649/8
49/103, 54/5, 55495/1092727, 1143197/125
49/104, 55/6, 8553/140608, 148252/27
49/106, 51/49, 12020/148877, 159265/117649
49/106, 57/8, 12020/148877, 159265/64
49/107, 58/9, 110979/1225043, 1319417/729
49/108, 59/10, 15805/157464, 170694/125
49/109, 60/11, 142549/1295029, 1412531/1331
49/110, 61/12, 19914/166375, 182545/216
49/111, 62/13, 176735/1367631, 1509045/2197
49/113, 64/15, 213585/1442897, 1609007/3375
49/114, 65/16, 29128/185193, 207537/512
49/115, 66/17, 253147/1520875, 1712465/4913
49/116, 67/18, 34245/195112, 220690/729
49/116, 107/98, 34245/195112, 220690/117649
49/117, 68/19, 295469/1601613, 1819467/6859
49/118, 69/20, 39710/205379, 234289/1000
49/120, 71/22, 45529/216000, 248340/1331
49/121, 72/23, 388585/1771561, 2044295/12167
49/121, 112/115, 388585/1771561, 1219819/1520875
49/122, 73/24, 51708/226981, 262849/1728
49/123, 74/25, 439475/1860867, 2162217/15625
49/124, 75/26, 58253/238328, 277822/2197
49/125, 76/27, 493317/1953125, 2283875/19683
49/127, 78/29, 550159/2048383, 2409317/24389
49/128, 79/30, 72465/262144, 309184/3375
49/129, 80/31, 610049/2146689, 2538591/29791
49/130, 57/49, 80144/274625, 325585/117649
49/130, 81/32, 80144/274625, 325585/4096
49/131, 82/33, 673035/2248091, 2671745/35937
49/132, 83/34, 88213/287496, 342474/4913
49/134, 85/36, 96678/300763, 359857/5832
49/135, 86/37, 808487/2460375, 2949885/50653
49/136, 87/38, 105545/314432, 377740/6859
49/137, 88/39, 881049/2571353, 3094967/59319
49/138, 89/40, 114820/328509, 396129/8000
49/139, 90/41, 956899/2685619, 3244121/68921
49/141, 92/43, 1036085/2803221, 3397395/79507
49/142, 93/44, 134618/357911, 434449/10648
49/143, 94/45, 1118655/2924207, 3554837/91125
49/144, 95/46, 145153/373248, 454392/12167
49/145, 96/47, 1204657/3048625, 3716495/103823
49/146, 97/48, 156120/389017, 474865/13824
49/148, 99/50, 167525/405224, 495874/15625
49/148, 123/98, 167525/405224, 495874/117649
49/149, 100/51, 1387149/3307949, 4052651/132651
49/150, 101/52, 179374/421875, 517425/17576
49/151, 102/53, 1483735/3442951, 4227245/148877
49/152, 103/54, 191673/438976, 539524/19683
49/153, 104/55, 1583945/3581577, 4406247/166375
49/155, 106/57, 1687827/3723875, 4589705/185193
49/156, 107/58, 217645/474552, 585390/24389
49/157, 108/59, 1795429/3869893, 4777667/205379
49/158, 109/60, 231330/493039, 609169/27000
49/159, 110/61, 1906799/4019679, 4970181/226981
49/160, 111/62, 245489/512000, 633520/29791
49/162, 113/64, 260128/531441, 658449/32768
49/163, 114/65, 2141035/4330747, 5369057/274625
49/164, 115/66, 275253/551368, 683962/35937
49/165, 116/67, 2263997/4492125, 5575515/300763
49/166, 117/68, 290870/571787, 710065/39304
49/167, 118/69, 2390919/4657463, 5786717/328509
49/169, 120/71, 2521849/4826809, 6002711/357911
49/170, 67/49, 323604/614125, 764065/117649
49/170, 121/72, 323604/614125, 764065/46656
49/171, 122/73, 2656835/5000211, 6223545/389017
49/172, 123/74, 340733/636056, 791974/50653
49/173, 124/75, 2795925/5177717, 6449267/421875
49/174, 125/76, 358378/658503, 820497/54872
49/176, 127/78, 376545/681472, 849640/59319
49/177, 128/79, 3086609/5545233, 6915567/493039
49/178, 129/80, 395240/704969, 879409/64000
49/179, 130/81, 3238299/5735339, 7156241/531441
49/180, 131/82, 414469/729000, 909810/68921
49/181, 132/83, 3394285/5929741, 7401995/571787
49/183, 134/85, 3554615/6128487, 7652877/614125
49/184, 135/86, 454553/778688, 972532/79507
49/185, 136/87, 3719337/6331625, 7908935/658503
49/186, 137/88, 475420/804357, 1004865/85184
49/187, 138/89, 3888499/6539203, 8170217/704969
49/188, 139/90, 496845/830584, 1037854/91125
49/190, 141/92, 518834/857375, 1071505/97336
49/191, 142/93, 4240335/6967871, 8708645/804357
49/192, 143/94, 541393/884736, 1105824/103823
49/193, 144/95, 4423105/7189057, 8985887/857375
49/194, 145/96, 564528/912673, 1140817/110592
49/195, 146/97, 4610507/7414875, 9268545/912673
49/197, 148/99, 4802589/7645373, 9556667/970299
49/198, 149/100, 612550/970299, 1212849/125000
49/199, 150/101, 4999399/7880599, 9850301/1030301
50/101, 51, 10301/1030301, 1040401
50/103, 53/3, 32727/1092727, 1123627/27
50/107, 57/7, 85043/1225043, 1299943/343
50/109, 59/9, 115029/1295029, 1393129/729
50/111, 61/11, 147631/1367631, 1489731/1331
50/113, 63/13, 182897/1442897, 1589797/2197
50/117, 67/17, 261613/1601613, 1800513/4913
50/119, 69/19, 305159/1685159, 1911259/6859
50/121, 71/21, 351561/1771561, 2025661/9261
50/123, 73/23, 400867/1860867, 2143767/12167
50/127, 77/27, 508383/2048383, 2391283/19683
50/129, 79/29, 566689/2146689, 2520789/24389
50/131, 81/31, 628091/2248091, 2654191/29791
50/133, 83/33, 692637/2352637, 2791537/35937
50/137, 87/37, 831353/2571353, 3078253/50653
50/139, 89/39, 905619/2685619, 3227719/59319
50/141, 91/41, 983221/2803221, 3381321/68921
50/143, 93/43, 1064207/2924207, 3539107/79507
50/147, 97/47, 1236523/3176523, 3867423/103823
50/149, 99/49, 1327949/3307949, 4038049/117649
50/151, 101/51, 1422951/3442951, 4213051/132651
50/153, 103/53, 1521577/3581577, 4392477/148877
50/157, 107/57, 1729893/3869893, 4764793/185193
50/159, 109/59, 1839679/4019679, 4957779/205379
50/161, 111/61, 1953281/4173281, 5155381/226981
50/163, 113/63, 2070747/4330747, 5357647/250047
50/167, 117/67, 2317463/4657463, 5776363/300763
50/169, 119/69, 2446809/4826809, 5992909/328509
50/171, 121/71, 2580211/5000211, 6214311/357911
50/173, 123/73, 2717717/5177717, 6440617/389017
50/177, 127/77, 3005233/5545233, 6908133/456533
50/179, 129/79, 3155339/5735339, 7149439/493039
50/181, 131/81, 3309741/5929741, 7395841/531441
50/183, 133/83, 3468487/6128487, 7647387/571787
50/187, 137/87, 3799203/6539203, 8166103/658503
50/189, 139/89, 3971269/6751269, 8433369/704969
50/191, 141/91, 4147871/6967871, 8705971/753571
50/193, 143/93, 4329057/7189057, 8983957/804357
50/197, 147/97, 4705373/7645373, 9556273/912673
50/199, 149/99, 4900599/7880599, 9850699/970299
51/2, 99/98, 127450, 127450/117649
51/14, 83/40, 96580/343, 304227/8000
51/49, 57/8, 159265/117649, 159265/64
51/103, 52, 10711/1092727, 1103233
51/104, 53/2, 2755/140608, 143260
51/106, 55/4, 5822/148877, 154283/8
51/107, 56/5, 59795/1225043, 1279613/125
51/109, 58/7, 88165/1295029, 1372855/343
51/110, 59/8, 12916/166375, 177595/64
51/112, 61/10, 16955/175616, 189896/125
51/113, 62/11, 152801/1442897, 1569683/1331
51/115, 64/13, 189163/1520875, 1673365/2197
51/116, 65/14, 26047/195112, 215818/343
51/118, 67/16, 31112/205379, 229451/512
51/121, 70/19, 315001/1771561, 2006059/6859
51/122, 71/20, 42310/226981, 258091/1000
51/124, 73/22, 48455/238328, 273110/1331
51/125, 74/23, 413333/1953125, 2246375/12167
51/127, 76/25, 466975/2048383, 2372233/15625
51/128, 77/26, 61867/262144, 304576/2197
51/130, 79/28, 69146/274625, 321035/2744
51/131, 80/29, 583451/2248091, 2635589/24389
51/133, 82/31, 646381/2352637, 2773183/29791
51/134, 83/32, 84880/300763, 355435/4096
51/137, 86/35, 781865/2571353, 3060443/42875
51/139, 88/37, 854515/2685619, 3210205/50653
51/140, 89/38, 111511/343000, 410830/6859
51/142, 91/40, 121220/357911, 430331/8000
51/143, 92/41, 1009871/2924207, 3522233/68921
51/145, 94/43, 1092673/3048625, 3684595/79507
51/146, 95/44, 141922/389017, 470923/10648
51/148, 97/46, 152927/405224, 492026/12167
51/149, 98/47, 1268765/3307949, 4022255/103823
51/151, 100/49, 1362151/3442951, 4197649/117649
51/152, 101/50, 176275/438976, 535876/15625
51/154, 103/52, 188630/456533, 558635/17576
51/155, 104/53, 1559843/3723875, 4561805/148877
51/157, 106/55, 1664245/3869893, 4750663/166375
51/158, 107/56, 214732/493039, 605851/21952
51/160, 109/58, 228491/512000, 630320/24389
51/161, 110/59, 1884401/4173281, 5142179/205379
51/163, 112/61, 2000251/4330747, 5344933/226981
51/164, 113/62, 257455/551368, 681010/29791
51/166, 115/64, 272672/571787, 707243/32768
51/167, 116/65, 2243735/4657463, 5764673/274625
51/169, 118/67, 2371465/4826809, 5981755/300763
51/172, 121/70, 321335/636056, 789566/42875
51/173, 122/71, 2639141/5177717, 6430583/357911
51/175, 124/73, 2779183/5359375, 6662425/389017
51/176, 125/74, 356347/681472, 847528/50653
51/178, 127/76, 374642/704969, 877451/54872
51/179, 128/77, 3071915/5735339, 7141205/456533
51/181, 130/79, 3224701/5929741, 7388239/493039
51/182, 131/80, 412840/753571, 939211/64000
51/184, 133/82, 432755/778688, 971060/68921
51/185, 134/83, 3543353/6331625, 7897835/571787
51/188, 137/86, 474247/830584, 1036726/79507
51/190, 139/88, 495836/857375, 1070555/85184
51/191, 140/89, 4054751/6967871, 8701769/704969
51/193, 142/91, 4234321/7189057, 8980483/753571
51/194, 143/92, 540730/912673, 1140235/97336
51/196, 145/94, 564047/941192, 1176098/103823
51/197, 146/95, 4607405/7645373, 9554303/857375
51/199, 148/97, 4801015/7880599, 9849505/912673
52/105, 53, 11129/1157625, 1168545
52/107, 55/3, 35283/1225043, 1258427/27
52/109, 57/5, 62005/1295029, 1351709/125
52/111, 59/7, 91343/1367631, 1448439/343
52/113, 61/9, 123345/1442897, 1548665/729
52/115, 63/11, 158059/1520875, 1652435/1331
52/119, 67/15, 235815/1685159, 1870799/3375
52/121, 69/17, 278953/1771561, 1985489/4913
52/123, 71/19, 324995/1860867, 2103915/6859
52/125, 73/21, 373989/1953125, 2226125/9261
52/127, 75/23, 425983/2048383, 2352167/12167
52/129, 77/25, 481025/2146689, 2482089/15625
52/131, 79/27, 539163/2248091, 2615939/19683
52/133, 81/29, 600445/2352637, 2753765/24389
52/133, 117/133, 600445/2352637, 600445/2352637
52/135, 83/31, 664919/2460375, 2895615/29791
52/137, 85/33, 732633/2571353, 3041537/35937
52/139, 87/35, 803635/2685619, 3191579/42875
52/141, 89/37, 877973/2803221, 3345789/50653
52/145, 93/41, 1036849/3048625, 3666905/68921
52/147, 95/43, 1121483/3176523, 3833907/79507
52/149, 97/45, 1209645/3307949, 4005269/91125
52/151, 99/47, 1301383/3442951, 4181039/103823
52/153, 101/49, 1396745/3581577, 4361265/117649
52/155, 103/51, 1495779/3723875, 4545995/132651
52/157, 105/53, 1598533/3869893, 4735277/148877
52/159, 107/55, 1705055/4019679, 4929159/166375
52/161, 109/57, 1815393/4173281, 5127689/185193
52/163, 111/59, 1929595/4330747, 5330915/205379
52/165, 113/61, 2047709/4492125, 5538885/226981
52/167, 115/63, 2169783/4657463, 5751647/250047
52/171, 119/67, 2426003/5000211, 6191739/300763
52/173, 121/69, 2560245/5177717, 6419165/328509
52/175, 123/71, 2698639/5359375, 6651575/357911
52/177, 125/73, 2841233/5545233, 6889017/389017
52/179, 127/75, 2988075/5735339, 7131539/421875
52/181, 129/77, 3139213/5929741, 7379189/456533
52/183, 131/79, 3294695/6128487, 7632015/493039
52/185, 133/81, 3454569/6331625, 7890065/531441
52/187, 135/83, 3618883/6539203, 8153387/571787
52/189, 137/85, 3787685/6751269, 8422029/614125
52/191, 139/87, 3961023/6967871, 8696039/658503
52/193, 141/89, 4138945/7189057, 8975465/704969
52/197, 145/93, 4508733/7645373, 9550757/804357
52/199, 147/95, 4700695/7880599, 9846719/857375
53/10, 197/165, 120912/125, 14427229/4492125
53/40, 73/32, 44517/8000, 222585/4096
53/65, 109/13, 4961/274625, 9126805/2197
53/66, 131/174, -580/35937, -79420/658503
53/71, 101/125, -46585/357911, -5467/1953125
53/107, 54, 11555/1225043, 1236385
